         94324 function calls (93288 primitive calls) in 20.635 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       65    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
        1    0.000    0.000    0.000    0.000 ra.py:15(<module>)
       48    0.000    0.000    0.000    0.000 random.py:343(choice)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:560(_classify_pyc)
        9    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
        8    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
        4    0.000    0.000    0.000    0.000 typing.py:1866(__new__)
       48    0.000    0.000    0.000    0.000 context.py:357(assert_spawning)
        1    0.000    0.000    0.005    0.005 _ia.py:14(<module>)
       71    0.000    0.000    0.000    0.000 inspect.py:514(_is_wrapper)
        1    0.000    0.000    0.011    0.011 arcobjects.py:15(<module>)
        1    0.000    0.000    0.000    0.000 intelligence.py:15(<module>)
       12    0.000    0.000    0.001    0.000 popen_spawn_win32.py:120(terminate)
       27    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
        6    0.000    0.000    0.000    0.000 ntpath.py:77(join)
      107    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(find_spec)
       24    0.000    0.000    0.000    0.000 context.py:354(set_spawning_popen)
       14    0.000    0.000    0.003    0.000 genericpath.py:16(exists)
        1    0.000    0.000    0.011    0.011 wmx.py:15(<module>)
       33    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
       72    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        3    0.000    0.000    0.003    0.001 threading.py:873(start)
        6    0.000    0.000    0.000    0.000 tempfile.py:138(rng)
      142    0.000    0.000    0.000    0.000 inspect.py:2869(return_annotation)
        1    0.000    0.000    0.005    0.005 pool.py:10(<module>)
        3    0.000    0.000    0.000    0.000 {built-in method _winapi.CreateFile}
        1    0.000    0.000    0.002    0.002 _mp.py:1155(Layout)
       15    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
     11/6    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
        1    0.000    0.000    0.003    0.003 _symbology.py:15(<module>)
        1    0.000    0.000    0.000    0.000 arcobjects.py:2578(SpatialReference)
        6    0.000    0.000    0.001    0.000 __init__.py:309(AddMessage)
        1    0.000    0.000    0.002    0.002 _mp.py:2614(MapFrame)
        1    0.000    0.000    0.000    0.000 defense.py:15(<module>)
        1    0.000    0.000    0.000    0.000 pool.py:468(_map_async)
        1    0.000    0.000    0.001    0.001 geocoding.py:15(<module>)
        8    0.000    0.000    0.000    0.000 enum.py:977(__and__)
        8    0.000    0.000    0.000    0.000 sre_compile.py:416(_bytes_to_codes)
      107    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(has_location)
        1    0.000    0.000    0.000    0.000 queues.py:10(<module>)
       96    0.000    0.000    0.000    0.000 connection.py:168(writable)
